sampling_time_ns,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-9.585057094522915,0.4426158085431771,0.25554435620998717
12,-9.841127872066759,0.41900259891324615,0.24191126327371548
14,-10.02193737407026,0.5563697915518221,0.3212202489214205
16,-9.820208242398662,0.3797364351461121,0.2192409330527167
18,-9.801624553346622,0.39498804177130686,0.2280464522433472
20,-9.694059729725103,0.4865434303691121,0.2809059804960508
22,-9.824031987116305,0.5920471125020922,0.3418185597760236
24,-10.05118074511811,0.8445760212038209,0.4876161931931291
26,-10.040394782824004,0.9018502474143115,0.5206834831133834
28,-10.089101241311276,0.8761282564902082,0.5058328847292592
30,-9.949841586158174,1.0427646472636056,0.6020404497990679
