Stage,dG (kcal/mol),err (kcal/mol)
Separation,-20.5570014510549,0.31872545850523254
RMSD DCAF16_only,-2.3833938964013726,0.04969821541347665
RMSD BD1withDCAF16,-2.2642774564778523,0.07072243594447837
RMSD BD2_IBG1withDCAF16andBD1,-1.5277515650887832,0.058634280804868405
RMSD DCAF16,4.789899425007774,0.0726332651380749
RMSD BD1_only_bulk,1.6569884531718273,0.007154231397279072
RMSD BD2_IBG1withBD1_bulk,6.993641123951446,0.207024150003808
thetaA,-0.07725924917256269,0.005480360140245364
thetaB,-0.024337088713426446,0.004013957415044144
phiA,-0.03878899132732661,0.005974895620861983
phiB,-0.0246266120518198,0.006277989969103073
phiC,-0.03561464768656051,0.004282101598926908
Standard state corr,7.432603607550944,0.0
Total,-6.059918348292615,0.4010247378823598
