sampling_time_ns,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-23.269367471636432,1.1274034050784474,0.6509066594073424
12,-22.81585936319969,1.7324774635651403,1.0002463299542939
14,-22.457122418436878,2.2475630518571768,1.2976311330103978
16,-22.28091703268522,2.501032209266024,1.4439716192716634
18,-22.082415885958692,2.2847739510866387,1.3191148556973158
20,-21.837895044962192,2.026670461459827,1.1700987364824942
22,-21.475591092992545,1.6333514714716322,0.9430159117354182
24,-21.173073350621696,1.4528924912249206,0.8388278709122939
26,-20.98480971430723,1.3345938625853828,0.7705281258224932
28,-20.859335957986204,1.202289831707761,0.6941423579804258
30,-20.762912369502107,1.181055506654604,0.6818827146949256
