,Frame number,HADDOCK score
0,1,-150.9317
1,2,-157.3169
2,3,-157.4171
3,4,-174.3218
4,5,-171.0182
5,6,-167.1185
6,7,-190.1592
7,8,-156.9228
8,9,-145.2524
9,10,-153.1094
10,11,-174.9434
11,12,-188.2583
12,13,-179.774
13,14,-160.9253
14,15,-172.9802
15,16,-169.0136
16,17,-160.2296
17,18,-155.3339
18,19,-159.2579
19,20,-154.1551
20,21,-171.4683
21,22,-140.316
22,23,-142.004
23,24,-143.983
24,25,-122.8612
25,26,-141.6105
26,27,-142.8937
27,28,-133.3375
28,29,-153.5053
29,30,-136.3534
30,31,-130.9082
31,32,-127.4002
32,33,-123.6691
33,34,-150.7164
34,35,-151.854
35,36,-145.0113
36,37,-159.7724
37,38,-161.0999
38,39,-181.575
39,40,-156.4974
40,41,-166.0281
41,42,-158.9961
42,43,-133.42
43,44,-140.3019
44,45,-154.8699
45,46,-144.3856
46,47,-154.1158
47,48,-141.7116
48,49,-141.297
49,50,-126.2715
50,51,-132.5788
51,52,-164.7413
52,53,-140.4559
53,54,-135.911
54,55,-126.4306
55,56,-132.4647
56,57,-143.2424
57,58,-128.2833
58,59,-158.2372
59,60,-147.3521
60,61,-152.7105
61,62,-130.1485
62,63,-146.1517
63,64,-154.9557
64,65,-150.2481
65,66,-146.3822
66,67,-132.4802
67,68,-132.5855
68,69,-148.7618
69,70,-130.669
70,71,-159.3763
71,72,-143.8135
72,73,-123.539
73,74,-138.4687
74,75,-134.4253
75,76,-138.1993
76,77,-132.2026
77,78,-139.5884
78,79,-126.0493
79,80,-129.9782
80,81,-126.8881
81,82,-133.0538
82,83,-147.8846
83,84,-135.7192
84,85,-165.1296
85,86,-146.8756
86,87,-127.7913
87,88,-140.054
88,89,-132.4247
89,90,-150.4982
90,91,-144.9704
91,92,-163.4453
92,93,-162.1323
93,94,-146.4733
94,95,-156.8805
95,96,-126.0046
96,97,-139.6475
97,98,-151.213
98,99,-142.7633
99,100,-166.5701
