Stage,dG (kcal/mol),err (kcal/mol)
Separation,-8.981911265999805,0.5693039457555227
RMSD CRBN_len_only,-3.756640386105874,0.028405605145934622
RMSD CK1aG40NwithCRBN_len,-6.446877429987425,0.2641871404814551
RMSD CRBN_len,4.792040771024909,0.09999293203277643
RMSD CK1aG40N,5.665975437972318,0.0798921896362521
thetaA,-0.07279597937340647,0.01500179105424636
thetaB,-0.08274243995625087,0.0319826289582622
phiA,-0.09061764631921594,0.022137796917503214
phiB,-0.12830040164227183,0.033455247575137514
phiC,-1.8955769197980403,0.24117526005952483
Standard state corr,7.728745521049152,0.0
Total,-3.2687007391359106,0.6871046781030087
