sampling_time_ns,av_dg_kcal_mol,std_dev_kcal_mol,sem_kcal_mol
10,-9.440399157775555,1.3033178745471599,0.7524709257094537
12,-9.160687616543065,0.7450585923294519,0.43015977884345274
14,-9.234578087121859,0.9380332111868994,0.5415737269875655
16,-9.182094480288852,1.0181365771420927,0.5878214268847914
18,-9.190840263552202,0.8837738719953475,0.5102470828992718
20,-9.086705315162044,0.7935773801573545,0.4581721140566466
22,-9.101557574026506,0.8439123634995869,0.4872330302389398
24,-9.030441553907728,0.9332465823000032,0.5388101655112051
26,-8.968103361431782,0.8801440645256665,0.508151412579545
28,-8.937593751156925,0.8877951501179403,0.512568768905837
30,-8.981911265999813,0.9860633589980012,0.5693039457555227
