,Frame number,HADDOCK score
0,1,-67.4518
1,2,-67.7793
2,3,-66.8267
3,4,-65.3125
4,5,-67.954
5,6,-72.7878
6,7,-60.957
7,8,-69.4195
8,9,-63.7831
9,10,-61.7428
10,11,-62.0348
11,12,-63.9465
12,13,-57.1264
13,14,-64.9186
14,15,-62.2995
15,16,-69.6494
16,17,-66.3161
17,18,-61.9006
18,19,-69.3695
19,20,-68.7833
20,21,-76.5419
21,22,-68.9669
22,23,-65.5446
23,24,-58.5326
24,25,-64.8795
25,26,-74.6038
26,27,-65.3368
27,28,-55.7772
28,29,-60.8844
29,30,-64.5616
30,31,-67.9297
31,32,-71.3394
32,33,-62.4901
33,34,-68.9975
34,35,-65.9755
35,36,-66.646
36,37,-69.7343
37,38,-71.2262
38,39,-74.3741
39,40,-63.4528
40,41,-58.0474
41,42,-62.0374
42,43,-67.6823
43,44,-71.1483
44,45,-69.8238
45,46,-67.6177
46,47,-53.6496
47,48,-65.3865
48,49,-69.138
49,50,-74.1639
50,51,-69.4708
51,52,-72.9284
52,53,-63.9254
53,54,-55.8601
54,55,-55.9716
55,56,-65.2701
56,57,-59.7096
57,58,-62.2013
58,59,-61.881
59,60,-65.1348
60,61,-54.0209
61,62,-58.3186
62,63,-75.9908
63,64,-73.6906
64,65,-77.1261
65,66,-65.4043
66,67,-85.5924
67,68,-68.0503
68,69,-65.6366
69,70,-61.2017
70,71,-57.388
71,72,-51.8683
72,73,-59.0372
73,74,-62.1529
74,75,-66.2245
75,76,-66.227
76,77,-61.4069
77,78,-73.0464
78,79,-60.8044
79,80,-69.9033
80,81,-61.2218
81,82,-73.4084
82,83,-68.3874
83,84,-81.1331
84,85,-72.4999
85,86,-68.964
86,87,-76.1229
87,88,-73.0932
88,89,-68.3518
89,90,-76.719
90,91,-64.3329
91,92,-70.7051
92,93,-71.5207
93,94,-58.3846
94,95,-61.9714
95,96,-61.6099
96,97,-71.9819
97,98,-76.661
98,99,-63.9335
99,100,-64.4671
